,Topic,Count,Name,Representation,KeyBERT,OpenAI-4,Representative_Docs
88,87,21,87_thoughts_share_asked_yummy,"['thoughts', 'share', 'asked', 'yummy', 'fiji', 'think', 'water', 'differences', 'ask', 'talked']","['water', 'thinking', 'questions', 'thoughts', 'things', 'ask', 'mind', 'think', 'asked', 'like']",['Thoughts and Discussions on Water'],"['. I mean, is there any other kind of thoughts about water anything you really like about ', "".. Got it., well, is there any other kind of thoughts about water? I don't have many more "", 'many more questions – but is there any other kind of thoughts about water or, or anything you think I ']"
89,88,20,88_road_throttle_open_driveway,"['road', 'throttle', 'open', 'driveway', 'driving', 'neighborhood', 'walkway', 'checkup', 'blocks', 'routine']","['road', 'roads', 'streets', 'street', 'driveway', 'driving', 'walkway', 'drive', 'vehicle', 'interstate']",['Neighborhood Road Driving Checkup'],"[""I didn't know that. That's cool. So is the road open? Like could we? "", 'Other side of the road, though... ', ', like off road?. ']"
90,89,20,89_introduction_redacted_personal_information,"['introduction', 'redacted', 'personal', 'information', 'live', 'used', '', '', '', '']","['redacted', 'introduction', 'information', '', '', '', '', '', '', '']",['Redacted Personal Live Information Introduction'],"['[REDACTED; Introduction] ', '[REDACTED; Introduction] ', '[REDACTED; Introduction] ']"
91,90,20,90_likely_close_40s_inaudible,"['likely', 'close', '40s', 'inaudible', 'homeless', '50s', 'stinky', 'china', 'minus', 'storm']","['likely', 'just', 've', '', '', '', '', '', '', '']",['Homeless Situation in China'],"['[; likely “”] ', '[; likely “”] ', '[; likely “”] ']"
92,91,18,91_covid_quarantine_wadays_shutting,"['covid', 'quarantine', 'wadays', 'shutting', 'china', 'class', 'leave', 'changed', 'workers', 'inflation']","['covid', 'quarantine', 'recession', 'causing', 'shortages', 'china', 'plans', 'worldwide', 'inflation', 'sudden']",['COVID Impact on Global Economy'],"['Changed? Quarantine workers we mostly rely on after the COVID. We gotta call the to ', 'was, I think it was last year. COVID time. ', ""Oh,. Everything it is. Well, it's worldwide, you know, shortages. China shutting down shutting down all their factories for COVID. not producing anything, not moving anything. I mean, so much comes from China. When they shut down the world feels it.. I mean, all the programs coming out. The infrastructure money, the COVID. Millions and billions of COVID money. I mean, I turn around I get COVID money. grants of COVID. ""]"
93,92,18,92_state_pillar_dealt_perception,"['state', 'pillar', 'dealt', 'perception', 'national', 'standards', 'city', 'landlord', 'crying', 'insider']","['state', 'states', 'statewide', 'federally', 'federal', 'city', 'public', 'america', 'landlords', 'national']",['State Standards and City Perception'],"[""that's interesting. And you said that the state might be looking at that as more of a pillar "", ' I mean, that could… I mean, before it was national standards, it was a state… The state ', 'Um, so I can\'t say that I\'ve personally dealt with it with the city myself a lot, because like, I lived with my parents or the landlord dealt with it. But I can say the perception that I\'ve or like, what I kind of hear from folks around me is very negative, very unresponsive, or almost kind of like in the situation with my own landlord, or where I\'m living right now it kind of feels like there\'s like, ""Oh, that\'s not our job, you know, like that\'s on you."" And that\'s just not really that my landlords really don\'t appreciate like that kind of like, relationship. And then also, like speaking with repair people with like, come to my apartment, like, they feel like the city kind of like just lets things sit around a lot, or like somebody told me like, “ should be getting the city to do stuff, like or public works to do stuff"" or something like that. So I haven\'t really I obviously have like an insider perspective on things. And I know, it\'s a little bit more like complicated than that. I don\'t think the city is like, acting like that.. And you know, like, I hear these internal communications and things like that. But I can tell you public perception is just that the city seems to be kind of,, combative, and just like not doing anything. ']"
94,93,18,93_easier_difficult_hard_predict,"['easier', 'difficult', 'hard', 'predict', 'blur', 'tough', 'tricky', 'usage', 'stressful', 'easily']","['easier', 'harder', 'easy', 'difficult', 'hard', 'tough', 'easily', 'tricky', 'way', 'know']",['Comparative Difficulty and Ease'],"['It’s easier. ', "", so it's a lot easier. w. "", ""now it's a lot easier so. ""]"
95,94,18,94_plumber_subdivision_close_final,"['plumber', 'subdivision', 'close', 'final', 'easements', 'development', 'sewer', 'distance', 'forward', 'neighborhood']","['plumber', 'plumbers', 'plumbing', 'plumb', 'sewer', 'pipe', 'piped', 'electrician', 'homeowner', 'construction']",['Plumbing Development in Subdivision'],"['Oh he was good. Actually he was a plumber. ', 'plumber that came back? Is there like one plumber that comes in? ', 'Like a plumber? Like a- ']"
96,95,18,95_problems_complaints_issues_trouble,"['problems', 'complaints', 'issues', 'trouble', 'depended', 'specific', 'dots', 'despite', 'problem', 'incredibly']","['problems', 'issues', 'issue', 'trouble', 'problem', 'complaints', 'concerns', 'questions', 'solution', 'stuff']",['Addressing Specific IT Problems'],"['problems. ', 'problems ', 'Any problems. ']"
97,96,17,96_rusty_rust_clorox_smells,"['rusty', 'rust', 'clorox', 'smells', 'metal', 'areas', 'roof', 'shut', 'annoyed', 'bleachy']","['rust', 'rusty', 'smell', 'bleachy', 'metal', 'water', 'smells', 'taste', 'showers', 'clorox']",['Rusty Water and Chlorine Smell'],"[""I mean, it's everything's rusty and.. "", 'It used to be rusty. We used to have brown water. You could smell the rust. w it smells like Clorox. ', 'Rusty water ']"
98,97,17,97_turn_turned_restart_unload,"['turn', 'turned', 'restart', 'unload', 'minimize', 'messed', 'operated', 'moving', 'maintaining', 'stuck']","['restart', 'unload', 'turn', 'turned', 'operated', 'stuck', 'try', 'problem', 'work', 'clean']",['Managing Device Operation Processes'],"['to turn anything on or off? ', 'Turn it off. ', 'place, and four times a week that I have to go you know, restart it and turn it back on. And the first ']"
99,98,17,98_concerned_anxious_cautious_worry,"['concerned', 'anxious', 'cautious', 'worry', 'concern', 'panicking', 'procedures', 'collapsing', 'wasted', 'emotion']","['concerned', 'worrying', 'worried', 'concern', 'worry', 'anxious', 'panicking', 'cautious', 'relax', 'calm']",['Anxiety and Concern Over Unknown'],"['concerned about it. ', 'the only one that’s really concerned about it? Or are there other people concerned about it? They just ', ""when I might be the only one that’s really concerned about it. I mean, I don't know. I don't know. Am I ""]"
100,99,17,99_fluoride_health_fluorinated_human,"['fluoride', 'health', 'fluorinated', 'human', 'minds', 'teaching', 'measures', 'removed', 'convince', 'class']","['fluoridation', 'fluoride', 'fluorides', 'fluorinate', 'fluorinated', 'chlorine', 'water', 'health', 'chemistry', 'milk']",['Fluoride Impact on Health Perception'],"[""I don't know. I guess like just learning about fluoride and how people were so against it here was kind of like eye opening to me that one incident at this point must be like years ago, that continues to resonate throughout the communities of how fluoride has a negative impact on human health, rather than the positive impact that it can create. So I can specifically remember just in class, having one of the water plant operators who was very against it. Kind of rolled his e and had to speak out wanted to speak out against fluoride in the class and how it is negative and just having to teach people that within safe measures. And when the state measures aren't removed. Like this, the safeguards are removed, that it can be healthy and it can benefit human health. Especially the health of children that are losing teeth.. So, just trying to convince a class that, you know, this water plant operator was pretty highly respected within the community, his community for sure. But also throughout as one of the more experienced operators that he's worked there for so long. It's kind of has you know, everything's all about what family what name where you're from around here. And when you have like, I'm just some new guy coming in from. I don't know anything. I don't they don't know me. I have no family here. Why would they listen to me? Trying to convince somebody, that's where my struggle was, is I'm teaching them something out of a book, rather than what they have seen with their own e or something that they've been told from, you know, story to story or from elder to elder, so on and so forth when it comes to how stories are exchanged in this area. Being the outsider can be very difficult. "", 'about fluoride. ', ""Kind of like talking about politics., some things have happened over the years, like, especially thinking of fluoride in the past with I believe it was where, you know, you get a pretty bad rep on fluoride and in fluoride in water, and then hears it, and now it's because people have died from it. Fluoride is bad, and fluoride will always probably be bad, unless there's a mass change of mind. t really sure how, how to do that we get I know, along., constant teaching of what fluoride really is, safe levels, and how it benefits the human body and how we have such tooth decay in this area and how it can really improve the health of children. It just doesn't get through to the right people. Or it will not change your minds. It's kind of the same with chlorine. And people think adding more chlorine will be worse for them. Because they can smell like, oh, I can smell it with a little bit. If I put more, I'm just going to smell it more, which is not the case. So with the breaking point, so, I've had water plant operators that have worked for me that I've taught them that, you know, I've explained to them, you need to hit this point, like, this is what you need to do. I've had people in class, argue with me about it, even as I'm teaching them and showing them and like people that they respect, such as their remote maintenance workers are telling them also like, you need to do this for this purpose and to really clean the water. But it doesn't always get through. I don't know exactly how to change your minds if they're not open to receiving information. ""]"
101,100,17,100_fishing_moose_hunting_hunt,"['fishing', 'moose', 'hunting', 'hunt', 'boat', 'activities', 'pe', 'summertime', 'subsistence', 'fish']","['hunting', 'fishing', 'hunt', 'fish', 'boat', 'subsistence', 'mining', 'moose', 'food', 'career']",['Fishing and Hunting Activities'],"['subsistence activities like hunting, fishing. Like I do a lot of hunting activities and my siblings and my ', 'hunt, I don\'t got enough guys. pe, you can\'t go fishing."" That\'s a big issue. So ', 'hunting or fishing. ']"
102,101,17,101_wand_magic_wave_fix,"['wand', 'magic', 'wave', 'fix', 'solution', 'magical', 'wands', 'vision', 'exists', 'ideal']","['wand', 'wands', 'magic', 'magical', 'wave', 'things', 'money', 'asking', 'change', 'question']",['Magic Wand Ideal Solutions'],"['that you think is most important to fix, and if you could wave a magic wand and ', 'could do anything, if you could wave a magic wand and we could just fix some of these ', 'you could wave a magic wand, what would you do for ? ']"
103,102,16,102_happen_soon_tick_yep,"['happen', 'soon', 'tick', 'yep', 'adult', 'fits', 'happens', 'younger', 'tight', 'usually']","['usually', 'happens', 'time', 'past', 'later', 'times', 'happen', 'yep', 'happening', 'remember']",['Adult Experiences Happening Soon'],"['people I know that do that. That are kind of and that kind of fits in also with that kind of younger adult ', ' Yep. That did happen. ', ""And usually that happens sometimes, you know, more times, and we'll get there as soon as we can. I’m ""]"
104,103,16,103_tell_bit_little_awesome,"['tell', 'bit', 'little', 'awesome', 'hats', 'strengths', 'hat', 'weaknesses', 'essentially', 'map']","['little', 'tell', 'bit', 'hair', 'person', 'skin', 'strengths', 'alright', 'just', 'live']",['Discussing Personal Strengths and Weaknesses'],"['. So. Tell me about, tell me a little bit about yourself. ', 'So, first can you tell me a little bit about yourself? ', 'So can you tell me a little bit about yourself? ']"
105,104,16,104_ignorance_viewpoint_point_just,"['ignorance', 'viewpoint', 'point', 'just', '', '', '', '', '', '']","['just', 'point', 'viewpoint', '', '', '', '', '', '', '']",['Ignorance and Viewpoints Discussion'],"['point. ', 'viewpoint though. ', 'ignorance here, but- ']"
106,105,16,105_exact_year_decade_yesterday,"['exact', 'year', 'decade', 'yesterday', 'timeframe', 'september', '17', 'years', 'remember', 'completed']","['year', 'years', 'decade', 'date', 'september', 'yesterday', 'timeframe', '17', '18', 'weeks']",['Remembering Exact Year of Completion'],"[""completed this year, and that's like a decade later. "", 'Oh, you don’t have to remember the exact date.. ', ', about. I can’t remember the exact year. ']"
107,106,16,106_tastes_taste_tap_extremely,"['tastes', 'taste', 'tap', 'extremely', 'picky', 'sulfur', 'mineral', 'sediments', 'friend', 'tasting']","['water', 'tasting', 'taste', 'tastes', 'drink', 'tap', 'tea', 'drinking', 'chemicals', 'sediments']",['Water Taste and Picky Preferences'],"["". They, I mean, my one friend that I'm thinking of is just extremely picky about how her water tastes. "", '. And then what about the taste of the water you get from the tap? Is it good? Is it? ', 'Do you think that water tastes better than the tap? ']"
108,107,15,107_laundry_wash_sheets_rug,"['laundry', 'wash', 'sheets', 'rug', 'clothes', 'lacking', 'basics', 'clothing', 'settle', 'girls']","['laundry', 'washing', 'wash', 'laundromat', 'washer', 'dryer', 'clothes', 'clothing', 'cleanest', 'rug']",['Managing Laundry and Water Usage'],"['It took a couple of times, but you know, we just monitor it. Decide when we can wash our rug and what ', '. I think ice is the ice and rain are the cleanest ones. It’s to drink from the laundry. Laundry ', ""we can't or when we can wash our sheets. When you can do extra laundry or do the basics. ""]"
